"","X1"
"1",0.098
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0.781
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0.146
"18",0.146
"19",0
"20",0
"21",0.244
"22",0
"23",0.439
"24",0.146
"25",1.025
"26",0
"27",0
"28",0.293
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",1.123
"36",1.465
"37",0.244
"38",0
"39",0
"40",0
"41",0.391
"42",0
"43",0.879
"44",0
"45",0
"46",0.928
"47",0.146
"48",0
"49",0.293
"50",0
"51",0.342
"52",0
"53",0
"54",0.391
"55",0
"56",0
"57",0.195
"58",0.195
"59",0.146
"60",0
"61",0.781
"62",0
"63",0
"64",0.195
"65",0
"66",0.342
"67",0
"68",0.195
"69",0
"70",0.146
"71",0.195
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0.439
"81",0.195
"82",0.293
"83",0.195
"84",0
"85",0.146
"86",0
"87",0.635
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0
"95",0.732
"96",0
"97",0
"98",0
"99",0
"100",0.195
"101",0
"102",0
"103",0.342
