"","X1"
"1",0
"2",0.146
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",1.172
"12",0.195
"13",1.074
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0.732
"26",0
"27",0.342
"28",0.146
"29",0
"30",0
"31",0
"32",0.195
"33",0
"34",0
"35",0
"36",0
"37",0
"38",1.807
"39",0.244
"40",0
"41",0
"42",0
"43",0.195
"44",0
"45",0
"46",0.146
"47",0.146
"48",0.244
"49",0.146
"50",0
"51",0
"52",0
"53",0
"54",0.244
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0.293
"63",0
"64",0
"65",0.195
"66",0.195
"67",0
"68",1.367
"69",0
"70",0.928
"71",0
"72",0
"73",0.146
"74",0
"75",0
"76",0.195
"77",0.732
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0.195
"92",0
"93",0
"94",0
"95",0
"96",0.488
