"","X1"
"1",0
"2",0
"3",0.146
"4",0.195
"5",0.146
"6",0
"7",0
"8",0
"9",0
"10",0.781
"11",0.488
"12",1.465
"13",1.025
"14",0
"15",0.146
"16",0.098
"17",0
"18",0
"19",0.098
"20",0.488
"21",0
"22",0.146
"23",0.83
"24",1.514
"25",1.611
"26",0.928
"27",0.879
"28",0.195
"29",1.953
"30",0.098
"31",0
"32",0.342
"33",0
"34",0
"35",1.318
"36",0.879
"37",0.586
"38",0.146
"39",0
"40",1.27
"41",1.074
"42",1.856
"43",1.856
"44",0
"45",1.856
"46",0
"47",0.342
"48",0.244
"49",0
"50",0.146
"51",0.83
"52",0
"53",0
"54",1.514
"55",0
"56",0.293
"57",0.391
"58",1.27
"59",1.514
"60",2.637
"61",1.025
"62",1.514
"63",1.611
"64",0.098
"65",1.709
"66",0
"67",1.025
"68",2.002
"69",0.244
"70",0.781
"71",0.244
"72",0
"73",0.391
"74",0.928
"75",0.928
"76",0.293
"77",0
"78",0.732
"79",0
"80",0.146
"81",2.148
"82",0
"83",0.244
"84",1.807
"85",0
"86",1.514
"87",0
