,1,2,3,4,5,6,7,8,9,10
5,0.0,0.0,0.635,0.439,0.0,0.0,0.342,0.977,0.0,0.928
6,0.098,0.635,0.0,0.0,0.0,0.0,0.391,0.781,0.0,1.465
7,0.0,0.0,0.0,1.025,0.0,0.879,0.635,0.635,1.27,1.904
8,0.0,0.0,0.0,0.439,0.0,0.488,0.488,0.439,0.0,1.66
9,0.0,0.342,0.0,0.928,0.0,0.0,0.879,0.0,1.953,1.025
10,1.465,0.0,0.0,1.172,0.0,0.342,2.295,0.0,0.293,0.293
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.244,2.1,0.586
12,0.0,0.0,0.537,0.0,0.928,0.537,1.27,1.709,0.928,0.684
13,0.0,0.83,0.0,0.83,0.0,1.367,0.83,0.391,0.635,0.439
14,0.0,0.0,0.342,0.0,1.514,0.439,1.074,0.488,0.0,1.318
15,0.0,0.0,0.0,0.0,1.367,0.0,1.123,0.0,0.195,0.488
16,0.0,0.0,1.074,0.0,0.0,0.0,0.0,2.734,0.0,0.342
17,0.0,0.83,0.195,0.195,0.342,1.025,0.488,0.0,0.0,0.879
18,0.0,0.0,1.856,0.0,1.318,0.0,0.635,1.27,0.0,2.49
19,0.293,0.0,1.416,0.0,1.416,0.0,0.195,0.244,0.488,2.344
20,0.0,0.0,0.0,0.586,0.879,0.0,0.0,0.781,0.0,0.488
21,0.0,0.244,0.0,0.0,0.0,0.879,1.221,0.0,0.244,0.439
22,0.488,0.342,0.0,0.732,0.0,0.781,1.123,0.0,0.0,0.293
23,0.0,0.195,0.342,0.0,0.0,0.0,0.684,0.0,0.0,2.344
24,0.0,0.0,0.0,0.0,0.684,0.195,0.781,0.0,1.856,0.0
25,0.0,0.0,0.0,0.0,0.342,1.025,0.586,3.711,0.342,0.342
26,0.0,0.0,0.586,0.0,0.0,0.0,0.391,0.0,0.0,1.904
65,0.0,0.0,0.586,0.293,0.488,0.83,0.0,0.0,0.293,1.172
