,1,2,3,4,5,6,7,8,9,10
7,0.0,0.0,0.0,0.195,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.637
9,0.0,0.0,0.0,0.293,0.0,0.0,0.0,0.0,0.0,3.662
10,0.0,0.0,0.0,0.0,2.393,1.367,3.906,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.635,1.318,0.0,3.76
12,1.856,0.0,0.0,0.0,0.0,2.002,2.49,0.0,2.246,3.662
13,0.0,0.0,0.977,0.0,0.0,2.783,0.0,0.0,0.635,3.418
14,0.0,0.0,0.0,2.637,0.0,2.539,0.0,3.467,0.0,1.758
15,0.0,0.0,0.0,2.734,2.783,0.0,0.879,0.0,5.029,1.514
16,2.246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.662,0.0
17,0.0,0.0,0.0,2.686,0.244,1.318,1.514,2.979,0.0,0.0
18,0.0,0.0,0.0,2.197,0.928,2.051,0.0,2.588,0.0,1.904
19,0.0,0.0,0.0,2.197,1.856,0.0,0.0,0.0,1.172,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.734
22,0.0,0.0,0.0,0.0,1.514,0.0,0.0,0.244,1.953,3.223
23,0.0,0.0,0.0,0.342,0.0,0.0,4.639,0.0,0.781,3.906
24,0.0,0.0,0.0,0.0,0.0,1.709,0.0,0.0,0.781,1.514
25,0.0,0.0,0.0,1.27,1.465,2.734,1.807,3.174,0.0,5.664
26,0.0,0.0,0.0,0.0,1.27,4.15,0.0,2.734,1.856,2.686
27,0.0,0.0,1.465,1.514,2.979,0.0,0.0,6.152,0.0,0.0
28,0.0,0.0,0.0,0.0,2.246,0.0,0.0,2.295,3.272,3.076
29,0.0,1.758,0.0,0.0,0.0,0.0,0.0,1.563,4.004,2.832
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.318,0.488,5.42
31,0.0,0.0,0.0,0.0,0.0,0.0,1.172,0.0,0.0,2.979
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.199,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,1.758,1.123,0.0,1.563
40,1.074,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,1.27,0.0,0.195,1.758,0.0,0.0
58,0.0,0.0,0.0,0.0,0.244,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0,3.516,0.342,2.93,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.172,0.0,5.713
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66,0.0,0.0
62,0.0,0.0,1.856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0,0.0,1.367,2.686,0.0,0.0
67,1.074,0.0,0.0,0.0,0.0,0.0,0.0,0.342,0.0,4.102
68,0.0,0.0,0.0,0.439,1.758,0.0,0.0,0.83,0.928,2.002
70,0.0,0.0,0.342,0.244,0.0,0.195,0.83,0.0,0.0,0.0
71,0.0,0.0,0.635,0.0,0.0,0.0,0.0,0.0,0.293,5.078
72,0.0,0.0,0.0,0.0,0.0,0.0,0.781,0.293,0.244,0.0
73,0.0,0.0,0.0,1.856,0.244,0.0,0.0,0.0,1.221,1.367
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.318,2.051
75,0.0,0.0,0.0,0.0,3.272,0.0,0.537,1.221,2.637,2.588
76,0.0,0.0,0.0,0.0,0.0,1.416,0.0,2.881,0.0,0.83
77,0.0,0.0,1.66,0.0,1.27,0.0,0.0,0.0,0.0,2.344
80,0.0,0.0,0.0,0.0,0.488,0.0,0.0,0.0,1.025,4.248
88,2.1,0.293,0.0,0.0,0.0,0.0,0.0,0.0,1.611,0.0
89,0.0,0.0,0.0,0.391,0.0,0.0,1.367,0.0,1.465,0.0
98,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,2.637
99,0.0,0.0,0.0,0.0,0.879,1.221,0.0,0.83,0.0,0.0
100,0.0,0.0,0.635,0.0,0.0,1.025,1.416,0.195,1.221,0.0
101,0.0,0.0,0.0,0.0,0.0,0.0,3.223,0.0,0.0,2.588
102,0.0,0.0,0.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,0.0,1.611,0.83,0.0,0.0,0.0,0.635,0.0,1.27,0.0
105,0.0,0.0,0.781,0.0,1.611,1.563,1.611,0.0,0.0,0.83
106,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.391,0.0,5.371
107,0.0,0.0,0.0,0.0,0.781,0.0,0.0,0.0,0.391,1.27
109,0.0,0.0,0.0,2.246,0.0,0.0,0.0,0.0,0.0,1.172
110,0.0,0.0,0.0,0.0,0.244,0.0,0.244,0.977,0.0,0.0
111,0.0,0.0,0.0,1.904,0.0,0.0,0.635,0.537,1.367,0.0
112,0.0,0.0,1.758,0.0,0.0,0.0,0.0,0.0,0.0,4.199
113,0.0,0.0,0.0,0.0,0.0,0.0,0.537,2.637,0.0,1.172
114,0.0,0.0,0.0,0.0,0.0,0.342,0.0,0.0,0.0,0.0
131,0.0,0.0,0.0,0.0,0.537,0.0,1.367,0.0,0.0,0.0
132,0.0,1.563,0.0,0.0,0.0,0.0,0.0,0.928,0.0,0.0
133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,0.0,0.0,0.0,0.0,0.586,1.611,0.0,0.0,0.0,0.0
135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.688,0.0,0.0
136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.342,1.709
138,0.0,0.0,0.0,1.611,0.0,0.0,1.953,0.0,2.344,0.0
139,0.0,0.0,0.0,1.074,0.0,0.0,0.0,2.197,0.0,0.781
140,0.0,0.0,0.0,0.0,0.0,1.465,0.342,0.0,2.148,0.0
141,0.0,0.0,0.0,0.0,0.0,2.393,0.0,0.0,0.0,0.0
142,0.0,0.0,0.0,0.0,0.0,0.342,0.0,1.953,0.0,2.295
143,0.0,0.0,0.0,1.465,0.0,0.0,0.0,4.541,2.637,0.0
144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.83,0.0
145,0.0,0.0,0.0,0.0,0.537,0.0,0.0,0.0,2.783,0.0
146,0.0,0.0,0.0,0.0,0.0,0.635,0.0,0.0,1.074,1.709
147,0.439,0.0,1.367,0.0,0.0,0.0,0.0,0.0,0.0,0.488
148,0.0,0.488,0.0,0.0,0.781,2.1,0.293,0.0,0.0,1.514
149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.514,2.832
150,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,2.1,0.0
151,0.0,0.0,0.0,0.0,1.904,2.783,0.0,1.66,1.27,0.0
152,1.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.344,0.0
153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.928,0.0
154,0.0,0.0,0.0,0.781,0.0,0.0,0.781,0.0,0.0,0.0
155,0.0,0.0,0.0,0.0,0.0,0.439,1.074,0.0,1.27,0.0
156,0.0,0.0,0.0,0.0,0.0,0.0,0.781,0.0,0.0,3.565
157,0.0,0.0,0.586,0.0,0.0,0.0,0.0,2.246,1.953,1.318
158,0.0,0.0,0.0,0.0,1.758,0.0,0.781,0.439,2.148,1.318
159,0.0,0.0,0.0,1.514,0.342,0.0,0.0,1.123,2.1,0.0
160,0.0,1.758,0.488,0.0,1.416,0.0,0.0,0.83,1.074,2.393
161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.514,0.635
