"","spike1","spike2","spike3","spike4","spike5","spike6","spike7","spike8","spike9","spike10"
"6",0,0,0,0,1.07421875,1.318359375,3.80859375,2.490234375,0.537109375,2.001953125
"7",0,0,0.78125,0.439453125,1.5625,0.732421875,3.7109375,2.001953125,1.904296875,5.517578125
"8",0,0.390625,2.24609375,1.708984375,1.3671875,2.5390625,3.515625,0.48828125,3.41796875,3.7109375
"9",0,0,0.390625,1.806640625,0.927734375,1.318359375,3.271484375,2.490234375,3.271484375,4.052734375
"10",0,0,0.634765625,0.48828125,2.05078125,1.318359375,2.294921875,4.98046875,4.78515625,2.05078125
"11",0,2.5390625,0.732421875,2.1484375,0.9765625,2.5390625,2.880859375,4.248046875,3.90625,4.8828125
"12",0,0,1.26953125,1.07421875,1.708984375,2.099609375,1.806640625,3.662109375,3.955078125,3.125
"13",0,0.78125,0.634765625,1.46484375,1.3671875,1.7578125,3.173828125,2.734375,2.001953125,5.322265625
"14",0.48828125,0,1.07421875,2.783203125,2.685546875,3.759765625,1.904296875,3.90625,2.05078125,5.078125
"15",0,0,0,1.171875,1.025390625,1.85546875,1.46484375,3.41796875,2.197265625,3.369140625
"16",0.5859375,0,1.416015625,4.345703125,1.806640625,1.513671875,3.173828125,3.466796875,3.759765625,4.345703125
"17",0,3.564453125,0,2.05078125,2.978515625,0.439453125,5.078125,3.662109375,3.515625,4.00390625
"18",0,0,1.171875,2.099609375,1.123046875,2.5390625,1.611328125,2.5390625,4.052734375,5.126953125
"19",0,0,0,1.46484375,4.1015625,2.294921875,1.26953125,3.857421875,3.61328125,6.8359375
"20",0,0.87890625,1.806640625,3.80859375,1.3671875,2.783203125,1.07421875,5.322265625,6.640625,2.1484375
"21",0,2.24609375,1.26953125,3.02734375,2.5390625,3.271484375,4.638671875,2.880859375,3.955078125,4.052734375
"22",1.513671875,1.123046875,1.611328125,0.48828125,2.392578125,4.248046875,2.734375,0.830078125,0.927734375,4.39453125
"23",0,1.513671875,0,2.978515625,1.611328125,4.58984375,5.322265625,4.248046875,3.759765625,5.56640625
"24",0,0,0.87890625,4.736328125,4.6875,0.927734375,5.126953125,2.5390625,3.662109375,4.541015625
"25",0.634765625,1.318359375,2.392578125,4.150390625,2.83203125,2.978515625,5.46875,3.22265625,3.662109375,5.029296875
"26",0.341796875,0.390625,3.22265625,2.001953125,3.125,0,3.22265625,4.8828125,5.615234375,3.3203125
"27",0,0,0,0.537109375,3.3203125,1.123046875,1.806640625,4.638671875,4.541015625,3.955078125
"46",0.78125,0.5859375,0.732421875,0.439453125,1.26953125,3.515625,2.24609375,1.953125,2.5390625,2.880859375
"47",0,0.68359375,0.927734375,1.611328125,2.24609375,2.83203125,5.37109375,2.490234375,2.783203125,4.150390625
"48",0,0,1.123046875,2.05078125,2.5390625,0.341796875,3.90625,5.2734375,1.5625,7.12890625
"49",0,0,1.171875,0,0.439453125,1.5625,2.5390625,2.44140625,2.001953125,4.58984375
"50",0,0.927734375,0.87890625,1.123046875,0.5859375,0.9765625,2.001953125,1.416015625,3.515625,3.955078125
"51",0,0.48828125,0.68359375,0.78125,2.1484375,1.220703125,1.66015625,1.953125,1.123046875,2.490234375
"52",0.634765625,1.7578125,3.125,0,0,0,2.685546875,4.736328125,3.173828125,1.7578125
"53",0,0,0,0,2.34375,0,1.123046875,0,1.904296875,1.171875
"54",0,0,0.927734375,0,2.001953125,0.634765625,3.759765625,1.3671875,1.416015625,6.396484375
"55",0,0,0.732421875,2.685546875,0,0.634765625,2.587890625,4.443359375,1.7578125,5.322265625
"56",0,0,0,1.171875,1.26953125,0.68359375,2.63671875,1.07421875,3.662109375,1.806640625
"57",0,0.68359375,0,1.318359375,0,0.9765625,3.41796875,2.490234375,0.29296875,4.1015625
"58",0,0,0,1.3671875,0,1.171875,1.806640625,2.9296875,1.46484375,4.248046875
"59",0,0,2.099609375,0.927734375,0,1.513671875,1.46484375,3.02734375,1.220703125,2.9296875
"60",0,0.634765625,0.634765625,0,0,0,1.220703125,0,2.978515625,3.90625
"63",0,0,1.07421875,1.171875,0,1.806640625,0.48828125,0.5859375,0.5859375,2.24609375
"64",1.611328125,1.318359375,0.732421875,2.294921875,0.68359375,1.708984375,1.46484375,1.3671875,1.5625,2.44140625
"65",0,0.634765625,1.46484375,0.68359375,0.68359375,0.78125,1.07421875,0.9765625,1.5625,4.833984375
"67",0,0,0.68359375,0.634765625,3.369140625,2.783203125,0.732421875,2.1484375,2.294921875,4.052734375
"68",0,0,0.439453125,0.68359375,0,0.634765625,1.953125,0.78125,3.7109375,0.9765625
"69",0,0,1.07421875,2.05078125,1.953125,1.513671875,2.44140625,1.171875,1.171875,3.369140625
"91",0.48828125,0.390625,1.708984375,0.48828125,0,0,0,0,0,3.271484375
"92",0.634765625,0,0,0.5859375,0,0.87890625,0.537109375,1.123046875,0,1.513671875
