,1,2,3,4,5,6,7,8,9,10
5,1.221,0.732,1.318,0.83,0.0,1.758,3.076,1.074,2.637,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,1.367,1.66,2.002,0.83
7,0.0,0.0,0.0,1.318,1.465,0.83,1.66,1.074,0.879,1.758
8,0.0,0.0,0.488,0.0,1.074,1.856,0.0,2.1,0.0,0.977
11,1.074,0.0,0.0,0.977,0.977,0.0,0.0,0.0,2.197,0.0
12,0.0,0.0,0.0,0.0,0.0,0.928,0.0,0.586,1.416,2.539
13,1.367,0.0,0.0,1.66,0.0,0.635,1.123,2.686,0.0,0.342
14,0.0,0.0,0.0,2.002,0.0,1.172,2.734,0.0,0.635,1.27
15,0.0,0.0,0.0,0.781,2.193,0.146,1.563,0.0,0.83,1.367
16,0.0,0.0,1.514,0.488,2.832,1.611,0.439,0.0,1.123,0.0
17,0.0,0.0,0.0,2.148,0.0,0.586,1.221,0.684,1.172,2.344
18,0.0,0.0,0.0,2.49,0.977,0.0,0.635,1.074,0.635,0.0
19,0.0,0.0,1.074,0.0,0.684,0.0,0.0,0.488,0.586,1.367
20,0.0,0.0,1.123,3.223,1.953,0.0,2.832,0.0,1.172,2.832
21,0.244,2.734,0.0,0.0,1.27,1.074,0.0,2.148,0.0,1.807
22,0.0,0.0,2.734,2.344,0.0,1.318,0.635,0.0,0.488,2.051
23,0.0,0.0,1.27,0.0,0.293,1.074,0.537,1.611,0.0,0.83
24,0.0,0.439,0.439,1.563,1.221,0.684,0.879,0.0,4.443,0.488
25,0.098,0.0,0.146,0.195,0.928,0.0,0.928,0.0,0.928,3.565
26,0.0,0.0,0.537,0.0,0.0,1.27,0.781,1.66,1.025,0.0
27,0.0,0.0,0.0,0.0,2.686,0.781,0.439,0.0,2.051,1.416
28,0.0,0.732,0.0,0.0,0.0,0.0,0.586,1.318,1.025,0.0
29,0.098,0.098,0.0,0.586,0.0,2.1,2.246,0.977,1.172,0.0
30,0.146,0.244,0.098,0.537,1.27,0.537,0.0,0.879,0.488,0.83
61,1.758,0.146,0.0,0.0,0.0,0.0,0.439,1.807,0.0,0.0
62,1.123,0.977,0.0,0.0,0.244,0.635,0.488,0.635,1.856,0.146
63,0.098,0.0,0.195,0.098,0.098,0.781,0.293,0.635,0.0,0.391
64,0.0,0.0,0.0,1.025,0.293,1.318,0.439,0.0,0.293,0.781
65,1.074,0.0,0.928,0.928,0.586,0.0,0.537,0.83,0.342,0.635
66,0.781,0.391,0.0,0.977,0.0,0.928,0.244,0.244,1.123,1.904
67,1.221,0.977,0.0,1.025,0.0,0.0,0.0,0.586,1.123,2.49
68,1.416,0.0,0.0,0.0,0.781,0.0,0.586,2.93,0.195,1.367
70,0.586,0.586,0.635,0.0,1.416,0.293,0.0,0.0,0.977,0.0
71,0.195,0.293,0.0,1.025,0.879,0.928,1.172,0.0,0.293,0.195
72,0.0,0.0,0.781,0.0,0.977,0.928,0.879,0.0,0.195,0.0
73,0.439,0.0,0.0,1.123,0.0,0.732,1.856,0.83,0.0,0.586
74,0.0,0.0,0.0,0.537,1.221,0.342,2.881,0.0,0.391,0.586
75,0.488,1.367,0.0,0.244,1.465,0.293,0.146,1.025,0.195,0.0
76,0.0,1.318,0.0,1.953,0.781,0.83,0.0,0.635,0.146,0.488
77,0.586,0.0,0.195,0.781,0.098,0.244,0.781,1.514,0.684,1.025
78,0.0,0.146,0.0,0.537,0.439,0.0,0.293,0.195,1.27,0.537
79,0.0,0.0,0.0,0.537,0.684,0.146,0.342,0.195,0.293,0.586
80,0.637,0.0,0.0,0.0,0.586,0.0,0.0,2.1,1.27,0.977
81,0.0,0.293,0.0,0.0,2.1,0.0,0.0,0.0,2.197,0.635
108,0.0,0.0,0.0,0.0,0.684,0.0,0.0,0.0,0.0,0.195
