,1,2,3,4,5,6,7,8,9,10
1,1.953,0.0,0.0,0.0,0.635,0.0,0.0,0.0,0.137,0.0
2,0.0,0.0,0.0,0.0,0.0,0.537,0.0,0.0,0.0,1.367
3,1.269,0.097,0.0,0.0,0.0,0.879,0.0,0.0,0.146,0.0
4,0.146,0.146,0.0,0.0,0.146,0.195,0.586,0.195,1.269,0.0
5,0.977,0.0,0.488,0.146,0.0,0.0,0.0,0.195,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,1.465,0.0,0.0,0.146,0.586
8,0.0,0.0,0.0,0.0,0.586,0.0,0.0,2.002,0.342,0.439
9,0.0,0.146,0.0,0.0,0.097,0.391,0.391,0.097,0.146,0.146
10,0.0,0.537,0.0,0.0,0.0,0.0,1.074,0.0,0.195,0.0
